block_id,start_date,end_date,end_weight,end_fat,end_lean,weight_7d,fat_7d,lean_7d,weight_14d,fat_14d,lean_14d,avg_calories_7d,avg_steps_7d,avg_sleep_7d,avg_rhr_7d,avg_hrv_7d,weight_rebound_7d,weight_rebound_14d,fat_rebound_7d,fat_rebound_14d,lean_rebound_7d,lean_rebound_14d
1.0,2020-03-02,2020-03-04,111.587,39.579,72.00800000000001,112.153,40.977000000000004,71.176,111.043,41.258,69.785,1847.6714285714286,,,,,0.5660000000000025,-0.5439999999999969,1.3980000000000032,1.679000000000002,-0.8320000000000078,-2.223000000000013
2.0,2020-03-09,2020-03-11,112.153,40.977000000000004,71.176,111.043,41.258,69.785,110.418,38.588,71.83000000000001,1363.0857142857144,,,,,-1.1099999999999994,-1.7349999999999994,0.2809999999999988,-2.389000000000003,-1.3910000000000053,0.6540000000000106
3.0,2020-03-17,2020-03-18,111.043,41.258,69.785,110.418,38.588,71.83000000000001,110.282,39.413000000000004,70.869,1308.2428571428572,,,,,-0.625,-0.7610000000000099,-2.6700000000000017,-1.8449999999999989,2.045000000000016,1.0840000000000032
4.0,2020-03-29,2020-03-29,110.502,37.358000000000004,73.14399999999999,,,,110.663,37.166000000000004,73.49699999999999,1351.7714285714285,,,,,,0.16100000000000136,,-0.19200000000000017,,0.35299999999999443
5.0,2020-05-06,2020-05-07,110.697,38.352000000000004,72.345,110.37,36.807,73.563,109.999,38.014,71.98499999999999,836.2142857142857,,,,,-0.3269999999999982,-0.6980000000000075,-1.5450000000000017,-0.33800000000000097,1.2180000000000035,-0.36000000000001364
6.0,2020-06-19,2020-07-02,102.47200000000001,33.153,69.31900000000002,103.988,32.134,71.854,103.897,32.273,71.624,1044.2571428571428,,,,,1.5159999999999911,1.4249999999999972,-1.0189999999999984,-0.8799999999999955,2.5349999999999824,2.3049999999999784
7.0,2020-09-05,2020-09-17,96.107,27.324,68.783,97.99000000000001,27.36,70.63000000000001,98.123,24.98,73.143,1692.7285714285715,7358.714285714285,5.391666666666667,70.66666666666667,,1.8830000000000098,2.0160000000000053,0.03599999999999781,-2.344000000000001,1.8470000000000084,4.359999999999999
8.0,2020-10-31,2020-11-02,99.637,27.35,72.287,,,,98.955,24.69,74.265,1656.7428571428572,7875.714285714285,5.75,76.66666666666667,,,-0.6820000000000022,,-2.66,,1.9779999999999944
9.0,2021-01-25,2021-02-07,91.066,21.32,69.74600000000001,94.365,20.59,73.77499999999999,,,,1688.9142857142856,11628.42857142857,7.016666666666666,68.71428571428571,17.553285714285714,3.2989999999999924,,-0.7300000000000004,,4.028999999999982,
10.0,2021-04-19,2021-05-03,87.137,17.79,69.34700000000001,89.96000000000001,18.900000000000002,71.06,90.031,20.38,69.65100000000001,1792.9285714285718,8390.42857142857,6.916666666666667,67.83333333333333,18.331333333333333,2.8230000000000075,2.8940000000000055,1.110000000000003,2.59,1.7129999999999939,0.30400000000000205
