timestamp,value
2026-01-15T00:00:03Z,96.1
2026-01-15T00:01:03Z,96.1
2026-01-15T00:02:03Z,50.0
2026-01-15T00:03:03Z,94.9
2026-01-15T00:04:03Z,95.2
2026-01-15T00:05:03Z,96.7
2026-01-15T00:06:03Z,98.2
2026-01-15T00:07:03Z,97.0
2026-01-15T00:08:03Z,97.7
2026-01-15T00:09:03Z,98.5
2026-01-15T00:10:03Z,98.8
2026-01-15T00:11:03Z,98.9
2026-01-15T00:12:03Z,99.1
2026-01-15T00:13:03Z,99.2
2026-01-15T00:14:03Z,99.4
2026-01-15T00:15:03Z,99.0
2026-01-15T00:16:03Z,98.1
2026-01-15T00:17:03Z,96.9
2026-01-15T00:18:03Z,96.2
2026-01-15T00:19:03Z,96.5
2026-01-15T00:20:03Z,97.4
2026-01-15T00:21:03Z,98.0
2026-01-15T00:22:03Z,98.7
2026-01-15T00:23:03Z,99.2
2026-01-15T00:24:03Z,99.1
2026-01-15T00:25:03Z,99.0
2026-01-15T00:26:03Z,99.0
2026-01-15T00:27:03Z,99.0
2026-01-15T00:28:03Z,98.9
2026-01-15T00:29:03Z,99.2
2026-01-15T00:30:03Z,99.2
2026-01-15T00:31:03Z,99.0
2026-01-15T00:32:03Z,99.3
2026-01-15T00:33:03Z,99.4
2026-01-15T00:34:03Z,99.1
2026-01-15T00:35:03Z,99.4
2026-01-15T00:36:03Z,99.4
2026-01-15T00:37:03Z,99.5
2026-01-15T00:38:03Z,99.5
2026-01-15T00:39:03Z,99.6
2026-01-15T00:40:03Z,99.4
2026-01-15T00:41:03Z,99.1
2026-01-15T00:42:03Z,99.1
2026-01-15T00:43:03Z,99.0
2026-01-15T00:44:03Z,99.3
2026-01-15T00:45:03Z,99.3
2026-01-15T00:46:03Z,99.4
2026-01-15T00:47:03Z,99.3
2026-01-15T00:48:03Z,99.5
2026-01-15T00:49:03Z,99.4
2026-01-15T00:50:03Z,99.4
2026-01-15T00:51:03Z,99.4
2026-01-15T00:52:03Z,99.3
2026-01-15T00:53:03Z,99.1
2026-01-15T00:54:03Z,98.7
2026-01-15T00:55:03Z,98.7
2026-01-15T00:56:03Z,98.9
2026-01-15T00:57:03Z,98.6
2026-01-15T00:58:03Z,98.6
2026-01-15T00:59:03Z,98.5
2026-01-15T01:00:03Z,50.0
2026-01-15T01:01:03Z,97.0
2026-01-15T01:02:03Z,94.8
2026-01-15T01:03:03Z,92.1
2026-01-15T01:04:03Z,90.5
2026-01-15T01:05:03Z,89.0
2026-01-15T01:06:03Z,88.6
