timestamp,steps,data source
2025-11-01T05:45:00Z,21,Charge 6
2025-11-01T05:46:00Z,1,Charge 6
2025-11-01T05:49:00Z,17,Charge 6
2025-11-01T05:50:00Z,28,Charge 6
2025-11-01T05:51:00Z,18,Charge 6
2025-11-01T05:52:00Z,37,Charge 6
2025-11-01T05:54:00Z,11,Charge 6
2025-11-01T05:55:00Z,44,Charge 6
2025-11-01T05:56:00Z,3,Charge 6
2025-11-01T06:12:00Z,7,Charge 6
2025-11-01T06:13:00Z,11,Charge 6
2025-11-01T06:24:00Z,7,Charge 6
2025-11-01T06:25:00Z,6,Charge 6
2025-11-01T06:26:00Z,7,Charge 6
2025-11-01T06:28:00Z,21,Charge 6
2025-11-01T06:29:00Z,18,Charge 6
2025-11-01T06:30:00Z,14,Charge 6
2025-11-01T06:31:00Z,7,Charge 6
2025-11-01T06:35:00Z,4,Charge 6
2025-11-01T06:36:00Z,21,Charge 6
2025-11-01T06:40:00Z,19,Charge 6
2025-11-01T07:05:00Z,16,Charge 6
2025-11-01T07:06:00Z,15,Charge 6
2025-11-01T07:10:00Z,26,Charge 6
2025-11-01T07:17:00Z,9,Charge 6
2025-11-01T07:21:00Z,43,Charge 6
2025-11-01T07:23:00Z,22,Charge 6
2025-11-01T07:26:00Z,9,Charge 6
2025-11-01T07:27:00Z,8,Charge 6
2025-11-01T07:36:00Z,6,Charge 6
2025-11-01T07:37:00Z,11,Charge 6
2025-11-01T07:39:00Z,26,Charge 6
2025-11-01T07:41:00Z,15,Charge 6
2025-11-01T07:42:00Z,23,Charge 6
2025-11-01T07:43:00Z,4,Charge 6
2025-11-01T07:44:00Z,7,Charge 6
2025-11-01T07:48:00Z,7,Charge 6
2025-11-01T07:49:00Z,9,Charge 6
2025-11-01T07:55:00Z,43,Charge 6
2025-11-01T07:56:00Z,9,Charge 6
2025-11-01T07:58:00Z,12,Charge 6
2025-11-01T08:00:00Z,7,Charge 6
2025-11-01T08:01:00Z,23,Charge 6
2025-11-01T08:12:00Z,5,Charge 6
2025-11-01T08:15:00Z,12,Charge 6
2025-11-01T08:17:00Z,12,Charge 6
2025-11-01T08:20:00Z,9,Charge 6
2025-11-01T08:22:00Z,24,Charge 6
2025-11-01T08:25:00Z,13,Charge 6
2025-11-01T08:26:00Z,9,Charge 6
2025-11-01T08:28:00Z,7,Charge 6
2025-11-01T08:32:00Z,10,Charge 6
2025-11-01T08:39:00Z,11,Charge 6
2025-11-01T08:40:00Z,6,Charge 6
2025-11-01T08:45:00Z,28,Charge 6
2025-11-01T08:48:00Z,12,Charge 6
2025-11-01T08:49:00Z,36,Charge 6
2025-11-01T08:51:00Z,28,Charge 6
2025-11-01T08:52:00Z,22,Charge 6
2025-11-01T08:59:00Z,55,Charge 6
2025-11-01T09:00:00Z,34,Charge 6
2025-11-01T09:10:00Z,21,Charge 6
2025-11-01T09:17:00Z,33,Charge 6
2025-11-01T09:19:00Z,15,Charge 6
2025-11-01T09:20:00Z,10,Charge 6
2025-11-01T09:21:00Z,6,Charge 6
2025-11-01T09:22:00Z,1,Charge 6
2025-11-01T09:25:00Z,14,Charge 6
2025-11-01T09:35:00Z,10,Charge 6
2025-11-01T09:38:00Z,5,Charge 6
2025-11-01T10:17:00Z,18,Charge 6
2025-11-01T10:18:00Z,6,Charge 6
2025-11-01T10:19:00Z,14,Charge 6
2025-11-01T10:20:00Z,7,Charge 6
2025-11-01T10:21:00Z,6,Charge 6
2025-11-01T10:24:00Z,44,Charge 6
2025-11-01T10:25:00Z,27,Charge 6
2025-11-01T11:00:00Z,16,Charge 6
2025-11-01T11:01:00Z,16,Charge 6
2025-11-01T11:04:00Z,6,Charge 6
2025-11-01T11:05:00Z,9,Charge 6
2025-11-01T11:07:00Z,6,Charge 6
2025-11-01T11:11:00Z,21,Charge 6
2025-11-01T11:12:00Z,12,Charge 6
2025-11-01T11:14:00Z,10,Charge 6
2025-11-01T11:15:00Z,24,Charge 6
2025-11-01T11:16:00Z,8,Charge 6
2025-11-01T11:17:00Z,21,Charge 6
2025-11-01T11:19:00Z,36,Charge 6
2025-11-01T11:21:00Z,24,Charge 6
2025-11-01T11:22:00Z,7,Charge 6
2025-11-01T11:23:00Z,20,Charge 6
2025-11-01T11:26:00Z,24,Charge 6
2025-11-01T11:27:00Z,20,Charge 6
2025-11-01T11:28:00Z,108,Charge 6
2025-11-01T11:29:00Z,104,Charge 6
2025-11-01T11:30:00Z,108,Charge 6
2025-11-01T11:31:00Z,111,Charge 6
2025-11-01T11:32:00Z,81,Charge 6
2025-11-01T11:33:00Z,4,Charge 6
2025-11-01T11:37:00Z,19,Charge 6
2025-11-01T11:39:00Z,26,Charge 6
2025-11-01T11:40:00Z,107,Charge 6
2025-11-01T11:41:00Z,111,Charge 6
2025-11-01T11:42:00Z,108,Charge 6
2025-11-01T11:43:00Z,84,Charge 6
2025-11-01T11:44:00Z,53,Charge 6
2025-11-01T11:45:00Z,34,Charge 6
2025-11-01T11:47:00Z,20,Charge 6
2025-11-01T11:48:00Z,6,Charge 6
2025-11-01T11:49:00Z,41,Charge 6
2025-11-01T11:50:00Z,47,Charge 6
2025-11-01T11:51:00Z,17,Charge 6
2025-11-01T11:53:00Z,40,Charge 6
2025-11-01T11:54:00Z,23,Charge 6
2025-11-01T11:55:00Z,9,Charge 6
2025-11-01T11:57:00Z,13,Charge 6
2025-11-01T12:01:00Z,9,Charge 6
2025-11-01T12:02:00Z,19,Charge 6
2025-11-01T12:03:00Z,9,Charge 6
2025-11-01T12:04:00Z,34,Charge 6
2025-11-01T12:05:00Z,4,Charge 6
2025-11-01T12:06:00Z,10,Charge 6
2025-11-01T12:07:00Z,19,Charge 6
2025-11-01T12:08:00Z,18,Charge 6
2025-11-01T12:12:00Z,40,Charge 6
2025-11-01T12:13:00Z,33,Charge 6
2025-11-01T12:14:00Z,17,Charge 6
2025-11-01T12:15:00Z,7,Charge 6
2025-11-01T12:16:00Z,19,Charge 6
2025-11-01T12:17:00Z,13,Charge 6
2025-11-01T12:18:00Z,8,Charge 6
2025-11-01T12:19:00Z,8,Charge 6
2025-11-01T12:20:00Z,11,Charge 6
2025-11-01T12:21:00Z,14,Charge 6
2025-11-01T12:22:00Z,8,Charge 6
2025-11-01T12:25:00Z,25,Charge 6
2025-11-01T12:28:00Z,47,Charge 6
2025-11-01T12:29:00Z,58,Charge 6
2025-11-01T12:30:00Z,35,Charge 6
2025-11-01T12:31:00Z,31,Charge 6
2025-11-01T12:32:00Z,10,Charge 6
2025-11-01T12:33:00Z,14,Charge 6
2025-11-01T12:34:00Z,40,Charge 6
2025-11-01T12:37:00Z,40,Charge 6
2025-11-01T12:39:00Z,11,Charge 6
